set N :=
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15;

set O :=
1
5
7;

set T :=
2
3
4
6
8
9
10
11
12;

set D :=
13
14
15;

param c :=
1	2	8
1	3	6
2	3	6
1	4	6
2	4	10
3	4	8
1	6	5
2	6	5
3	6	9
4	6	7
5	6	7
2	8	9
3	8	7
4	8	10
5	8	5
6	8	12
7	8	5
1	9	7
2	9	12
3	9	7
4	9	5
5	9	6
6	9	5
7	9	11
8	9	10
1	10	12
2	10	10
3	10	12
4	10	12
5	10	8
6	10	12
7	10	9
8	10	9
9	10	10
1	11	5
2	11	6
3	11	5
4	11	6
5	11	9
6	11	11
7	11	9
8	11	9
9	11	8
10	11	6
1	12	11
2	12	8
3	12	9
4	12	9
5	12	5
6	12	7
7	12	8
8	12	10
9	12	11
10	12	9
11	12	10
1	13	6
4	13	7
5	13	8
6	13	11
7	13	12
8	13	10
9	13	10
10	13	5
11	13	11
12	13	7
2	14	11
3	14	9
4	14	5
5	14	10
6	14	6
7	14	5
8	14	8
9	14	10
10	14	8
11	14	7
12	14	9
1	15	12
2	15	5
3	15	5
4	15	5
5	15	6
6	15	11
7	15	6
8	15	5
9	15	10
10	15	11
11	15	5
12	15	12;

param l :=
1	2	14
1	3	3
2	3	7
1	4	11
2	4	16
3	4	5
1	6	19
2	6	15
3	6	18
4	6	4
5	6	7
2	8	5
3	8	4
4	8	12
5	8	14
6	8	17
7	8	20
1	9	1
2	9	20
3	9	12
4	9	14
5	9	3
6	9	2
7	9	12
8	9	15
1	10	15
2	10	8
3	10	19
4	10	14
5	10	15
6	10	1
7	10	8
8	10	12
9	10	20
1	11	3
2	11	2
3	11	11
4	11	17
5	11	20
6	11	17
7	11	20
8	11	6
9	11	14
10	11	9
1	12	16
2	12	17
3	12	14
4	12	10
5	12	16
6	12	17
7	12	6
8	12	12
9	12	18
10	12	6
11	12	10
1	13	10
4	13	17
5	13	9
6	13	12
7	13	3
8	13	12
9	13	6
10	13	10
11	13	8
12	13	13
2	14	19
3	14	2
4	14	10
5	14	7
6	14	17
7	14	9
8	14	1
9	14	19
10	14	18
11	14	18
12	14	2
1	15	6
2	15	18
3	15	12
4	15	11
5	15	10
6	15	11
7	15	2
8	15	4
9	15	20
10	15	9
11	15	18
12	15	13;

param d :=
13	25
14	25
15	25;

param s :=
1	30
5	30
7	30;
